payment_type,total_payment_records,total_orders,total_payment_value,average_payment_value,order_share_percent
credit_card,76795,76505,12542084.19,163.31902063936454,75.23873213811552
boleto,19784,19784,2869361.27,145.03443540234534,19.456546325344455
voucher,5775,3866,379436.87,65.70335411255411,3.8020121357552394
debit_card,1529,1528,217989.79,142.57017004578157,1.5027094007847919
